 Easy to use. economical! ,1
        Digital is where it's at...down with developing film! ,1
        Good image quality. 3x optical zoom. macro mode. inexpensive ,1
Awesome features/easy to use/fun/versatile/low price/Cust SVS 2nd 2 none! ,1
        intuitive. user friendly ,1
        Simple. Flexable. Reliable ,1
        battery life. download speed ,1
        Agfa quality in a small box. great for table top and tests ,1
        Image quality. price. video link ,1
        No Extras to Buy. Very Flexible. High Quality Images. Good Software ,1
        simplicity ,1
        Comes with software. good price. excellent pictures. ,1
        Clear pics ,1
        Price. Over all Performance. Zoom Feature ,1
        clear. srisp picture. durable camera. good desing. nice features ,1
        Inexpensive compared to some ,1
        Great picture quality. swivel lens. many options ,1
        Very simple controls and a wide range of features ,1
        Great camera. easy to use. good looking. high quality images. ,1
        Megapixel quality. easy to use ,1
        durable. easy to use ,1
        Sharp. crisp. pictures. ,1
        Ease of use. quality pictures. ,1
        pic quality. smart media.price ,1
        megapixel quality. easy to use ,1
        Easy to use. takes GREAT pictures. full of features. ,1
        Saturated. sharp images at all resolutions. twist-style body ,1
        very clear photos ,1
        Nickle Hydride batteries.  ease of use. excellent color rendition ,1
        Picture quality. Twist body ,1
        perfect shots. long-focus. easy to use. a lot of features. good software ,1
        Easy to use. stylish. good picture quality. good price. good company. ,1
        Good quality pictures for a low price. great first camera ,1
        This camera is a nice easy to use camera. ,1
        Takes great pictures ,1
        Inexpensive and clear pictures ,1
        Camera is very easy to learn and use. ,1
        extra film. led for image viewing. software is easy to use. sleek design ,1
        Easy to use. great pictures ,1
        Ease of use; instant review; inexpensive ,1
        cheap ,1
        Inexpensive. good quality. easy to use ,1
        Acceptable Quality Pictures. Decent amount of options. ,1
        Low price. easy to use. Quality pictures. ,1
        Low price. 4 levels of resolution. EZ to use ,1
        Easy to use. fabulous picture quality. lots of features ,1
        sturdy. easy to use.  ,1
        Strong. Well Built body ,1
        Attractive. easy to use. great value ,1
        No internal memory (uses cards). lightweight. compact. easy to use ,1
        Swell buy for the price.  ,1
        Inexpensive. versatile. fun. sturdy. and cool. ,1
        Ease of use. TV connection cable. Decent software. interchangeable compact flash cards in many sizes ,1
        Price. Quality. Storage capacity ,1
        Price. Ease of Use. Great Software package. factory support ,1
        Great Pictures for the Cost. ,1
        Easy to use - fun at first ,1
        inexpensive.easy to use ,1
        cheaper than buying film ,1
        Easy to use ,1
        Good value for the money. Simple to learn/use ,1
        Quick and easy to use. ,1
        Takes great pictures in four resolutions ,1
        Decent resolution ,1
        Fantastic value. great images. solid camera. GREAT company. EXCELLENT customer service (read my 5/20/2000 update) ,1
        sturdy. great price. easy to use ,1
        Good quality inexpensive initially ,1
        cost ,1
        Easy to use. good quality. great price ,1
        Easy. fast image transfer to PC or printer ,1
        Changing resolution ,1
        reasonable price This features you would expect from a very expensive camera ,1
        Easy to use. great outdoor pics. ,1
        simple to use ,1
        Good price ,1
        handy. high quality pictures ,1
        Best camera we  have had ,1
        Great software. easy to use camera ,1
        User friendly. priced right ,1
        Easy to use. compact ,1
        Easy to use. picture galleries. self-adjusting flash ,1
        Cute. cheap. anybody could use it ,1
        Cheap. cute. sturdy. reliable ,1
        good for beginners. funky blue design. cheap ,1
        Good price for resolution and ease of use ,1
        Low cost. easy to use. pretty good pictures. fine for ebay ,1
        inexpensive ,1
        Price ,1
        Price. Style--it's Blue :) ,1
        Blue design FUN! Takes good pictures for me. LCD and Optical view finder. easy to use ,1
        Very easy camera to use ,1
        Easy to use. Great range of settings for the flash. the resolution and the focal length. The camera itself looks pretty darn cool too. ,1
        Customer support. value for dollar ,1
        Price ,1
        Price. Ease of Use. LCD Monitor ,1
        High Quality Photos. Dependable. Easy to Use ,1
        friendly ,1
        cheap. easy to use ,1
        Price. Great pictures. Smart Media slot ,1
        cost. easy to use ,1
        compact. stylish. good quality pictures ,1
        Ease of use. clear &amp;amp; crisp pictures. LCD ,1
        You get so much for what you pay ,1
        Great camera. great price! ,1
        Good images. uploadable. easy to use. LCD. everything ,1
        easy to use. affordable. several nice features ,1
        Wonderful Software Included; Easy-to-Use; Great Picture Quality; Lots of Features; Low Cost ,1
        Gallery. Viewing Lense. High Capacity for storing pictures. Nice Design. High Resolution/Good Quality photos. ,1
        Relatively low-cost. decent picture quality and simple to use ,1
        cool looking. decent pics. like the flash and size options. ,1
        Easy to use; relatively inexpensive; quality pretty good; wonderful customer service ,1
        very inexpensive.  good quality pictures ,1
        GREAT DIGITAL 1ST CAMERA ,1
        Very simple to use. software is pretty self explanatory. ,1
        compact and reasonable pictures ,1
        zero ,1
        It's light and low tech. ,1
        The company honored my warranty. ,1
        Inexpensive. Easy to operate ,1
        NOT ONE ,1
        cost ,1
        inexpensive. webcam conversion included. easy to use ,1
        Photos look good on TV ,1
        Price. EVERYTHING is included.  ,1
        A camera to carry with you at all times. ,1
        Good for inexpensive snapshots ,1
        - small. low power consumption. decent outdoor pictures. fast USB connection ,1
        Small. light. simple. pockatable ,1
        Cheap.  Complete.  USB interface. ,1
        quality good for price ,1
        Tiny camera with lots of big features. ,1
        It is made for video conferencing and still photography with quality  pictures. ,1
        Great inexpensive digital camera ,1
"        Inexpensive. Supposed ""Dual"" capabilities. ability to display pics on TV with included cable. extras included. ",1
        Good value. good photos. simple to use ,1
        Nice picture as a web camera when the lighting is good. ,1
        affordable. high quality pictures. holds a lot of pictures. USB port. pocket-sized. so it's easy to carry around. ,1
        Pricing. Image Quality. Dimensions. USB-port. CF-slot. Flash. WebCam ,1
        Small. inexpensive. easy ,1
        Easy to handle. good quality with enough light. webcam too. ,1
        Good pics.price and easy to use. ,1
        Lightweight. small. great webcam ,1
        Image Quality. CF Card Slot. Flash. USB ,1
        Can you find anything better for this price? ,1
        Price. ease of use. size. ,1
        CompactFlash. USB. has flash. great outdoor image quality. good for web or beginner ,1
        Flash. Digital. USB. high or low quality. WEB CAM.   ,1
        Price/Quality. agfanet prints. size. software bundle. versatility ,1
        Inexpensive. good pictures in good lighting conditions ,1
        LCD screen. Clik! drive. navigation nob. easy software ,1
        Easy to use. 1 Megapixel ,1
        good pic quality &amp;amp; price ,1
        lightweight. easy to use ,1
        Simplicity. cord bundle. Photo Quality ,1
        Easy to use. great picture quality ,1
        inexpensive Clik! media. 1.5 MP resolution. 2x digital zoom ,1
        good image quality. affordable ,1
        Not many. ,1
        Good $  ,1
        ease of use. compact size ,1
